compliment	n.称赞,恭维,致意,问候,道贺;vt.称赞,褒扬,恭维
comply	vi.顺从,答应,遵守
component	n.成分;adj.组成的,构成的
compose	v.组成,写作,排字,(使)安定,调解
composite	adj.合成的,复合的;n.合成物
compound	n.混合物,[化]化合物;adj.复合的;v.混合,配合
comprehension	n.理解,包含
comprehensive	adj.全面的,广泛的,能充分理解的,包容的
compromise	n.妥协,折衷;v.妥协,折衷,危及...的安全
compulsory	adj.必需做的,必修的,被强迫的,被强制的,义务的
compute	v.计算,估计,用计算机计算(或确定)
concede	vt.勉强,承认,退让;vi.让步
conceive	vt.构思,以为,持有;vi.怀孕,考虑,设想
concentrate	v.集中,浓缩
concentration	n.集中,集合,专心,浓缩,浓度
concept	n.观念,概念
conception	n.观念,概念
concern	vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是
concise	adj.简明的,简练的
conclude	v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定
condemn	vt.判刑,处刑,声讨,谴责
condense	v.(使)浓缩,精简
conduct	n.行为,操行;v.引导,管理,为人,传导
confer	vt.授予(称号、学位等),赠与,把...赠与,协议;v.协商,交换意见
conference	n.会议,讨论会,协商会
confidence	n.信心
confident	adj.自信的,确信的
confidential	adj.秘密的,机密的
configuration	n.构造,结构,配置,外形
confine	vt.限制,禁闭;n.界限,边界
confirm	vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼
conflict	n.斗争,冲突;vi.抵触,冲突
conform	vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的
confront	vt.使面临,对抗
confusion	n.混乱,混淆
congress	n.(代表)大会,[C～](美国等国的)国会,议会
conscientious	adj.尽责的
conscious	adj.有意识的,有知觉的,故意的,羞怯的
consecutive	adj.连续的,联贯的
consensus	n.一致同意,多数人的意见,舆论
consent	vi.同意,赞成,答应;n.同意,赞成,允诺
consequence	n.结果,[逻]推理,推论,因果关系,重要的地位
consequent	adj.作为结果的,随之发生的
consequently	adv.从而,因此
conservation	n.保存,保持,守恒
conservative	adj.保守的,守旧的;n.保守派
conserve	vt.保存,保藏
considerable	adj.相当大(或多)的,值得考虑的,相当可观的
considerate	adj.考虑周到的
consist	vi.由...组成,在于,一致
consistent	adj.一致的,调和的,坚固的,[数、统]相容的
console	vt.安慰,藉慰;n.[计]控制台
consolidate	v.巩固
conspicuous	adj.显著的
constant	n.[数、物]常数,恒量;adj.不变的,持续的,坚决的
constituent	n.委托人,要素;adj.有选举权的；有宪法制定［修改］权的
constitute	vt.制定(法律),建立(政府),组成,任命
constitution	n.宪法,构造,体质,体格,国体,章程,惯例
constrain	vt.强迫,抑制,拘束
construct	vt.建造,构造,创立
consult	v.商量,商议,请教,参考,考虑
consultant	n.顾问,商议者,咨询者
consume	vt.消耗,消费,消灭,大吃大喝,吸引;vi.消灭,毁灭
consumer	n.消费者
consumption	n.消费,消费量,肺病
contact	n.接触,联系;vt.接触,联系
contaminate	v.污染
contemplate	v.凝视,沉思,预期,企图
contempt	n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)
contend	v.斗争,竞争,主张
contention	n.争夺,争论,争辩,论点
contest	n.论争,竞赛;v.,争论,争辩,竞赛,争夺
continual	adj.连续的,频繁的,持续不断的
continuity	n.连续性,连贯性
contract	n.合同,契约,婚约;v.使缩短,感染,订约
contradict	vt.同...矛盾,同...抵触
contradiction	n.反驳,矛盾
contrast	vt.使与...对比,使与...对照;vi.和...形成对照;n.对比,对照,(对照中的)差异
contribute	v.捐助,捐献,贡献,投稿
contribution	n.捐献,贡献,投稿
contrive	v.发明,设计,图谋
controversial	adj.争论的,争议的
controversy	n.论争,辩论,论战
convene	v.召集,集合
convenience	n.便利,方便,有益,有用的,方便的用具、机械、安排等
convention	n.大会,协定,习俗,惯例
conventional	adj.惯例的,常规的,习俗的,传统的
converge	v.聚合,集中于一点;vt.会聚
conversion	n.变换,转化
convert	n.皈依者;vt.使转变,转换...,使...改变信仰
convey	vt.搬运,传达,转让
convict	vt.证明...有罪,宣告...有罪;n.罪犯
convince	vt.使确信,使信服
cooperative	adj.合作的,协力的
cope	vi.(善于)应付,(善于)处理
cord	n.绳索,束缚
cordial	n.兴奋剂,兴奋性饮料;adj.热忱的,诚恳的,兴奋的
cork	n.软木塞,软木,(用塞子)塞住
corporate	adj.社团的,法人的,共同的,全体的
corps	n.军团,兵队,团,兵种,技术兵种,特殊兵种,(德国大学的)学生联合会
corpse	n.尸体
correlate	vt.使相互关联;vi.和...相关
correspondence	n.相应,通信,信件
corresponding	adj.相应的,通讯的
corrode	v.使腐蚀,侵蚀
corrupt	adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的;vt.使腐烂,腐蚀,使恶化;vi.腐烂,堕落
costume	n.装束,服装
council	n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子
counsel	n.讨论,商议,辩护律师;vt.劝告,忠告
counter	n.计算器,计数器,计算者,柜台,筹码;adv.prep.相反地
counterpart	n.副本,极相似的人或物,配对物
coupon	n.息票,商家的优待券
court	n.法院,庭院,朝廷,球场,奉承,求爱;vt.向...献殷勤,追求,博得(喝彩),招致(失败危险等);vi.求爱
courtesy	n.谦恭,允许,礼貌
coverage	n.覆盖
coward	n.懦弱的人,胆小的人
cozy	adj.舒适的,安逸的,惬意的
cradle	n.摇篮,发源地,支船架;vt.将...放在摇篮内
crash	n.碰撞,坠落,坠毁,撞击声,爆裂声;v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台
creation	n.创造,创作物
credible	adj.可信的,可靠的
credit	n.信任,信用,声望,荣誉,[财务]贷方,银行存款;vt.相信,信任,把...归给
crew	n.全体人员,(工作)队;vbl.crow的过去式
crime	n.犯罪,犯罪行为,罪行,罪恶
criminal	n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的
cripple	n.跛子;v.削弱
crisis	n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期
crisp	adj.脆的,易碎的
criterion	n.(批评判断的)标准,准据,规范
critic	n.批评家,评论家,吹毛求疵者
critical	adj.评论的,鉴定的,批评的,危急的,临界的
criticism	n.批评,批判
criticize	v.批评,责备
crowd	n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满
crucial	adj.至关紧要的
crumble	v.弄碎,粉碎,崩溃;n.面包屑
crush	vt.压碎,碾碎,压服,压垮,粉碎,(使)变形
cucumber	n.[植]黄瓜
culminate	v.达到顶点
culture	n.文化,文明
cumulative	adj.累积的
curb	n.路边
current	adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流
curse	n.诅咒,咒语,祸根,祸因;vt.诅咒,咒骂,降祸,使受罪
customary	adj.习惯的,惯例的
cute	adj.可爱的,聪明的,伶俐的,装腔作势的
cycle	n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转
cylinder	n.圆筒,圆柱体,汽缸,柱面
cynical	adj.愤世嫉俗的

